codigo,texto
679,LABOTARORIOS LIOMONT S.A DE C.V
680,LACER. SAS
681,LACTO LIFE SAS
682,LANDER CO. INC.
683,LANNACHER HEILMITTEL
684,LAOREM INTERNACIONAL
685,LEADIANT GMBH
686,LEMERY LIMITADA
687,LEON MONTOYA RESTREPO
688,LEONARDO MORALES ORTEGA
689,LINOPHARMA LABORATORIOS LIMITADA
690,LIXMAR LTDA
691,LOMEDICALPHARMA LTDA
692,LOTARIO LEVY HOFMANN
693,LUGOVA SA
694,LUITPOLD PHARMA GMBH
695,LUXOM PHARMA LABORATORIOS LIMITADA
696,M/S ALDER PHARMACEUTICAL LIMITED
697,MALLINCKRODT INC.
698,MARGARITA ARANGO VELEZ
699,MARTA LUCIA NIETO PINZON
700,MASTERS PHARMACEUTICALS LIMITED
701,MATERIAS PRIMAS Y SUMINISTROS LITDA.
702,MAXSALUD LTDA.
703,MAYNE GROUP LIMITED
704,MAYORDENT LTDA.
705,MAYPROFARMA Y/O LABORATORIO NOIPROCS. Y CIA
706,MCNEIL LA LLC
707,MEDIMEXSAS
708,MEDINET LTDA.
709,MEDISPRAY LABORATORIES PRIVATE LIMITED
710,MEDIVELIUS FARMACEUTICA SAS
711,MEDTRONIC COLOMBIA SAS
712,MEPHA A.G.
713,MEPHALLC.
714,MERCANTIL CONTRACTA CIA. LTDA.
715,MIGUEL ALFONSO ROMERO CAICEDO
716,MILLENIUM NATURALHEALTH PRODUCTS. INC
717,MINIMARKET JGB SAS
718,MINNTECH CORPORATION
719,MIRALAB FARMACEUTICA LTDA.
720,MUCOS PHARMA GMBH & CO.
721,MULIER PHARMA SAS
722,MUNDIPHARMA COLOMBIA SAS.
723,NADISCO NACIONAL DE DISTRIBUCIONES COMERCIALES LTDA
724,NANCY BEATRIZ PINZON ESTEVEZ
725,NATUFARMA LTDA.
726,NATURES PRODUCTS. INC.
727,NATURNET COLOMBIA SAS.
728,NEIVERS PHARMA LTDA
729,NEPAL INSTITUTO QUIMICO TERAPEÚTICO Y CIA SAS.
730,NESTLE CLINICAL NUTRITION
731,NEWLAB NUTRITION LTDA.
732,NIKKISO AMERICA. INC
733,NIRMA LIMITED
734,NISSI SAS
735,NISSISAS
736,NORAMARK ARZNEIMITTEL GMBA
737,NOVAGENE LABORATORIES SAS
738,NOVOCOL PHARMACEUTICAL OF CANADA INC.
739,NUBENCO ENTERPRISES. INC.
740,NUTRITION CARE SAS
741,OBAGI MEDICAL PRODUCTS INC.
742,ODONTOFARMA LABORATORIOS
743,OFTAPHARMA
744,OKASA PHARMA PVT. LTD.
745,OKASAPHARMAPVT LTD.
746,O.M.H. PRODUCTOS LTDA.
747,OMP. INC
748,ORAL  B LABORATORIES A DIVISION OF GUILLETTE CANADA INC.
749,OREAD LABORATORIES INC.
750,ORION PHARMA SAS
751,ORPHAN EUROPE SASR.L.
752,ORPHARM DRUGS LATIN AMERICA LTDA
753,ORTHOFARMA & CIA S.A
754,OSCAR ARBOLEDA A. Y FRANCISCO ARBOLEDA A.
755,OSWALDO MOSQUERA CAICEDO
756,OTC CONSUMER PHARMACEUTICAL SAS.
757,OXIACED LTDA.
758,OXIURABA OXIGENOS DE URABA LTDA.
759,OXYPHARMA S.A
760,PABLO EMILIO GARCIA
761,PAL LABORATORIES INC.
762,PARKE DAVIS & COMPANY
763,PASCOE PHARMAZEUTISCHE PRÄPARATE GMBH
764,PASTEUR MERIEUX SERUMS & VACCINS SA.
765,PATENTES . MARCAS Y REGISTROS SAS PATMAR SAS
766,PECODA SAS
767,PEDRO PABLO SARMIENTO PORRAS
768,PELGOR SAS
769,PF FARMACEUTICA SAS
770,PHAMAQUILA SAS
771,PHARMABROKER SAS. CI
772,PHARMARIS COLOMBIA SAS.
773,PHT&T S.P.A.
774,PIERRE FABRE DERMATOLOGIE
775,PLASTIESTERIL SAS DE C.V.
776,POLICHEM SAS
777,POLPHARMA SAS
778,POPULARES J. VARGAS LTDA.
779,PRESQUIM LTDA.
780,PROBE & TEST TRADING COLOMBIA LTDA
781,PRODIEL LTDA
782,PRODIMED FARMA SAS.
783,PROFADER LTDA.
784,PSIPHARMA LIMITADA
785,QMED AB
786,QUIMBIOTEC COMPAÑIA ANÓNIMA
787,QUIMICOL A.M.L. SAS
788,QUIRURGICOS LTDA.
789,RANBAXY
790,RECKITT BENCKISER COLOMBIA SAS
791,RELIV INTERNATIONAL INC
792,RENAL MEDICAL MARKETING LIMITADA
793,RENE CAVANZO ALZUGARATE
794,REXAL SUNDOWN INC
795,REYMOR PHARMA LTDA
796,RHEO PHARMA COLOMBIA SAS.
797,RHONEPOULENC RORER
798,RIVERA ANDRADE Y CIA
799,RIVERPHARMA COLOMBIA SAS
800,ROBERTO PINEDA M Y CIA ROPIM
801,ROCHE CONSUMER HEALTH (WORLWIDE) SAS
802,ROHAARZNEIMITTEL GMBH
803,ROLDAN DOMINGUEZ & CIA. LTDA.
804,RORER INTERNATIONAL (HOLDINGS) INC.
805,ROUGIER INC.
806,ROWELL FARMACEUTICASAS
807,SALUD HOLÍSTICA EN MEDICINA ESTÉTICA NATURAL SAS.
808,SANTA MARTA LTDA
809,SANTANDEREANA DE RADIO SAS
810,SBL VACCIN AB
811,SCHOLL LATIN AMERICA LIMITED
812,SCLAVO S.P.A.
813,SECTEURPHARMA U.C.B. SAS
814,SELIGDE COLOMBIA SAS
815,SELLER COLOMBIANA LTDA
816,SEPTODONT
817,SEPULVEDA GRAJALES JOHN EUGENIO
818,SEQIRUS S. R. L.
819,SERB
820,SERFARMASAS
821,SERRAL SAS DE C.V.
822,SERUMWERK BERBURNG AG.
823,SERVIPHARM S.A
824,SHAKLEE CORPORATION
825,SINOVAC LIFE SCIENCES CO.LTD
826,SISTEMAS Y PROGRAMAS DE HIGIENE INDUSTRIAL GOVI LIMITADA SIGLA SPHI GOVI LTDA.
827,SOFT CAPS LABORATORIO FARMACEUTICO SAS
828,SOGAP SAS.
829,SOLOPAK PHARMACEUTICALS INC.
830,SPECIA
831,STELLA DURAN PRODUCTOS NATURALES S. EN C.
832,STENDHAL COLOMBIA SAS.
833,STERLING HEALTH DE COLOMBIA INC
834,STORZ OPHTALMICSINC.
835,STRIDES ARCOLAB LIMITED
836,SUCROAL SAS
837,SUPERTIENDAS Y DROGUERIAS OLIMPICA SAS  OLIMPICA SAS
838,SYNTHELABO PRODUCTOS FARMACEUTICOS ESPECIALIZADOS LTDA
839,SYSTAGENIX WOUND MANAGEMENT LIMITED
840,TALECRIS BIOTHERAPEUTICS INC
841,TECNOALIMENTARIA LTDA.
842,TERUMO BCT COLOMBIA SAS
843,TEVA FHARMACEUTICAL WORKS PRIVATE LIMITED COMPANY
844,THERAPLIX SAS
845,THREE RIVERS PHARMACEUTICALS
846,TOOLS FOR NUTRITION
847,TOTAL NUTRITION CENTER SAS
848,TRANSPHYTO SAS
849,TRAVENOL LABORATORIES INC.
850,TRIUNPHARMA
851,U.A.E. FONDO NACIONAL DE ESTUPEFACIENTES (MINISTERIO DE SALUD)
852,UNIDAD ADMINISTRATIVA ESPECIAL (U.A.E.) DEL FONDO NACIONAL DE ESTUPEFACIENTES
853,UNIFEMME SAS
854,UNILEVER ANDINA COLOMBIA LTDA.
855,UNION CHEMIQUE BELGA SAS
856,UNIPHARM INTERNATIONAL S.A
857,UPJOHN INTERAMERICAN CORPORATION
858,UROMEDICA DE COLOMBIA SAS
859,URUCOL COMERCIALIZADORA SAS
860,URUFARMA SAS
861,VALENTECH PHARMA COLOMBIASAS.
862,VANSOLIX SAS EN REESTRUCTURACION
863,VANTAGE GLOBAL HEALTH GROUP COLOMBIA SAS
864,VIATRIS GMBH & CO. KG
865,VICAFARMA LIMITADA
866,VICTOR GARCES
867,VICTUS INC
868,VIRGINIA ROJAS DE CIFUENTES
869,VISIONEX SAS
870,VITABIOTICS LIMITED.
871,VITANAT EU
872,VITROFARMA SAS
873,VIVIANA PAOLA SUAREZ SUAREZ
874,W  L LLC.
875,WALTER ROTHLISBERGER S. A.
876,WARNER LAMBERT COMPANY
877,WASSER CHEMICAL SAS
878,WELFARE CARESAS.
879,WHITEHALL LABORATORIOS LIMITED
880,WHOLER ANDINA SAS
881,WILCOS SAS
882,WILLIAM JIMENEZ Y CIA S.C.S
883,WILLMAR SCHWABE GMBH
884,WLLLC
885,WRIGHT MEDICAL TECHNOLOGY INC
886,WYETH CONSUMER HEALTHCARE LTD.
887,YAMANOUCHI EUROPE B.V.
888,YIOLKOSS INTERNATIONAL LTDA.
889,ZAFARCO COMERCIAL SAS
890,ZENECA LIMITED
891,ZENTARISGMBH
892,ZOKUMEY PHARMA SAS
893,ZYMA S.A
